,date,value
0,2010-01,-2.511508204090809
1,2010-02,-1.2190322580645183
2,2010-03,3.2625224014336927
3,2010-04,7.838814265863847
4,2010-05,10.449046871495838
5,2010-06,15.195848794063068
6,2010-07,20.433111366245736
7,2010-08,17.356606890042475
8,2010-09,13.401574074074063
9,2010-10,8.788664874551994
10,2010-11,3.832615740740741
11,2010-12,-3.1978718637992825
12,2011-01,0.3866935483870956
13,2011-02,0.03263888888888876
14,2011-03,3.3716451685901703
15,2011-04,10.626502095947814
16,2011-05,12.493160854893125
17,2011-06,16.78464946572844
18,2011-07,17.65349675558766
19,2011-08,17.132937485995974
20,2011-09,14.81400787219265
21,2011-10,10.198252688172044
22,2011-11,7.225636868920788
23,2011-12,4.583154121863801
24,2012-01,2.422039991013255
25,2012-02,-0.13218390804598484
26,2012-03,6.165969062784348
27,2012-04,6.981296296296311
28,2012-05,13.198160197442267
29,2012-06,14.054467592592594
30,2012-07,17.489090501792084
31,2012-08,17.932179775280915
32,2012-09,14.06030879962849
33,2012-10,9.239700805523588
34,2012-11,6.690159759203508
35,2012-12,0.8650089605734809
36,2013-01,0.5313172043010764
37,2013-02,-0.0969238402381547
38,2013-03,-0.3816196236559134
39,2013-04,6.655532407407409
40,2013-05,13.43039378813092
41,2013-06,16.083128621089188
42,2013-07,18.951153932332502
43,2013-08,18.078561827957003
44,2013-09,13.695810185185154
45,2013-10,11.597267025089605
46,2013-11,6.4437934228809635
47,2013-12,5.31494510419003
48,2014-01,1.6449319568277798
49,2014-02,4.217320099255585
50,2014-03,6.3943506639657945
51,2014-04,9.449282407407429
52,2014-05,13.160797491039448
53,2014-06,16.548194444444526
54,2014-07,21.050235267757056
55,2014-08,17.35784050179215
56,2014-09,15.325306783977776
57,2014-10,12.721704769968973
58,2014-11,11.828463476070526
59,2015-05,11.864
60,2015-06,14.586846386242168
61,2015-07,17.486242437822163
62,2015-08,18.730389959659327
63,2015-09,14.370062514470966
64,2015-10,10.2168682795699
65,2015-11,7.847464690900682
66,2015-12,6.898115324209106
67,2016-01,0.6614141414141382
68,2016-02,3.077390677558874
69,2016-03,4.381022880215356
70,2016-04,7.494745370370381
71,2016-05,14.517085201793716
72,2016-06,17.54949074074068
73,2016-07,18.030217928555288
74,2016-08,17.14707202153917
75,2016-09,16.929087540528073
76,2016-10,9.467991913746598
77,2016-11,4.801203703703713
78,2016-12,4.8923593995070735
79,2017-01,1.0123220153340649
80,2017-02,2.4148387096774098
81,2017-03,5.402800179211445
82,2017-04,7.143611111111093
83,2017-05,13.065403060059396
84,2017-06,16.065902777777787
85,2017-07,16.607258064516138
86,2017-08,17.197647849462356
87,2017-09,13.945208333333358
88,2017-10,10.809970930232556
89,2017-11,6.1756481481481424
90,2017-12,4.2546839982070646
91,2018-01,3.1539323325117783
92,2018-02,-0.5625651203175401
93,2018-03,0.3286707016364049
94,2018-04,9.293703703703716
95,2018-05,15.856126570915622
96,2018-06,18.157490159759213
97,2018-07,20.893201705182868
98,2018-08,18.888694088559244
99,2018-09,14.891680223100147
100,2018-10,10.605197132616473
101,2018-11,6.411790595320839
102,2018-12,4.464359318996421
103,2019-01,1.8421146953405063
104,2019-02,4.667881944444444
105,2019-03,5.930633200228188
106,2019-04,8.688356481481511
107,2019-05,11.076052867383478
108,2019-06,18.275925925925915
109,2019-07,17.900873655913983
110,2019-08,18.50519713261652
111,2019-09,13.765462962962939
112,2019-10,9.770228494623666
113,2019-11,6.4838657407407485
114,2019-12,4.821932584269668
115,2020-01,5.250123456790144
116,2020-02,4.748151681373735
117,2020-03,4.91636052968815
118,2020-04,8.40074074074074
119,2020-05,11.147368421052644
120,2020-06,17.60822330321983
121,2020-07,15.99977598566308
122,2020-08,20.055209424083763
47,2014-12,5.31494510419003
48,2015-01,1.6449319568277798
49,2015-02,4.217320099255585
50,2015-03,6.3943506639657945
51,2015-04,9.449282407407429
