date,value
2010-01,-2.511508204090809
2010-02,-1.2190322580645183
2010-03,3.2625224014336927
2010-04,7.838814265863846
2010-05,10.449046871495838
2010-06,15.195848794063068
2010-07,20.433111366245733
2010-08,17.356606890042475
2010-09,13.401574074074064
2010-10,8.788664874551994
2010-11,3.8326157407407413
2010-12,-3.1978718637992825
2011-01,0.38669354838709563
2011-02,0.03263888888888876
2011-03,3.3716451685901703
2011-04,10.626502095947812
2011-05,12.493160854893125
2011-06,16.78464946572844
2011-07,17.65349675558766
2011-08,17.132937485995974
2011-09,14.81400787219265
2011-10,10.198252688172042
2011-11,7.225636868920789
2011-12,4.583154121863801
2012-01,2.422039991013255
2012-02,-0.13218390804598484
2012-03,6.165969062784348
2012-04,6.981296296296311
2012-05,13.198160197442268
2012-06,14.054467592592594
2012-07,17.489090501792084
2012-08,17.932179775280915
2012-09,14.060308799628492
2012-10,9.239700805523588
2012-11,6.690159759203508
2012-12,0.8650089605734809
2013-01,0.5313172043010764
2013-02,-0.0969238402381547
2013-03,-0.3816196236559134
2013-04,6.655532407407409
2013-05,13.430393788130921
2013-06,16.083128621089188
2013-07,18.951153932332506
2013-08,18.078561827957003
2013-09,13.695810185185152
2013-10,11.597267025089604
2013-11,6.443793422880962
2013-12,5.31494510419003
2014-01,1.6449319568277798
2014-02,4.217320099255585
2014-03,6.3943506639657945
2014-04,9.449282407407427
2014-05,13.160797491039448
2014-06,16.548194444444523
2014-07,21.050235267757056
2014-08,17.357840501792147
2014-09,15.325306783977776
2014-10,12.721704769968971
2014-11,11.828463476070526
2015-05,11.863999999999999
2015-06,14.586846386242168
2015-07,17.486242437822163
2015-08,18.730389959659327
2015-09,14.370062514470963
2015-10,10.216868279569898
2015-11,7.847464690900681
2015-12,6.898115324209105
2016-01,0.6614141414141382
2016-02,3.0773906775588746
2016-03,4.3810228802153555
2016-04,7.4947453703703815
2016-05,14.517085201793718
2016-06,17.54949074074068
2016-07,18.030217928555288
2016-08,17.14707202153917
2016-09,16.929087540528077
2016-10,9.467991913746598
2016-11,4.801203703703713
2016-12,4.8923593995070735
2017-01,1.0123220153340649
2017-02,2.4148387096774098
2017-03,5.402800179211445
2017-04,7.143611111111092
2017-05,13.065403060059394
2017-06,16.065902777777783
2017-07,16.607258064516138
2017-08,17.197647849462356
2017-09,13.94520833333336
2017-10,10.809970930232558
2017-11,6.175648148148143
2017-12,4.254683998207065
2018-01,3.153932332511778
2018-02,-0.5625651203175401
2018-03,0.3286707016364049
2018-04,9.293703703703718
2018-05,15.856126570915622
2018-06,18.15749015975921
2018-07,20.893201705182868
2018-08,18.888694088559244
2018-09,14.891680223100147
2018-10,10.605197132616473
2018-11,6.411790595320839
2018-12,4.464359318996421
2019-01,1.8421146953405065
2019-02,4.667881944444443
2019-03,5.930633200228188
2019-04,8.688356481481511
2019-05,11.076052867383476
2019-06,18.275925925925915
2019-07,17.900873655913983
2019-08,18.50519713261652
2019-09,13.76546296296294
2019-10,9.770228494623666
2019-11,6.483865740740749
2019-12,4.821932584269668
2020-01,5.250123456790144
2020-02,4.748151681373735
2020-03,4.91636052968815
2020-04,8.40074074074074
2020-05,11.147368421052645
2020-06,17.60822330321983
2020-07,15.99977598566308
2020-08,20.055209424083763
